"FieldName","FieldLabel","DataType","SourceTable","ValueSet"
"AMPUTATION_LIMB_ISCHEMIA","Amputation/Limb ischemia","Selection","GeneralModel","AMPUTATION_LIMB_ISCHEMIA"
"ANIMAL_ANGIO_ANIMAL_EXPOSURE","During the period of interest, was the patient exposed to any of the following:","Selection [Multiple]","GeneralModel","ANIMAL_ANGIO_ANIMAL_EXPOSURE"
"ANIMAL_ANGIO_ANIMAL_EXPOSURE_OTHER_SPECIFY","Specify","String","GeneralModel",""
"ANIMAL_CLOSE_CONTACT_BIRD_DROPPINGS","Did/does the patient have close contact with bird droppings or nests?","Selection","GeneralModel","ANIMAL_CLOSE_CONTACT_BIRD_DROPPINGS"
"ANIMAL_CLOSE_CONTACT_BIRDS","Did/does the patient have close contact with birds?","Selection","GeneralModel","ANIMAL_CLOSE_CONTACT_BIRDS"
"ANIMAL_CLOSE_CONTACT_GOAT","Did/does the patient have close contact with goat?","Selection","GeneralModel","ANIMAL_CLOSE_CONTACT_GOAT"
"ANIMAL_CLOSE_CONTACT_OTHER","Did the patient have close contact with animal in any other setting?","Selection","GeneralModel","ANIMAL_CLOSE_CONTACT_OTHER"
"ANIMAL_CLOSE_CONTACT_OTHER_ANIMAL","Type of animal","String","GeneralModel",""
"ANIMAL_CLOSE_CONTACT_OTHER_TYPE","Type of contact","String","GeneralModel",""
"ANIMAL_CLOSE_CONTACT_RODENT_DROPPINGS","Did/does patient have close contact with rodent droppings or rodent nests?","Selection","GeneralModel","ANIMAL_CLOSE_CONTACT_RODENT_DROPPINGS"
"ANIMAL_CLOSE_CONTACT_RODENTS","Does patient have close contact with rodents (rats, mice, squirrels, prarie dogs)?","Selection","GeneralModel","ANIMAL_CLOSE_CONTACT_RODENTS"
"ANIMAL_CLOSE_CONTACT_SHEEP","Did/does the patient have close contact with sheep?","Selection","GeneralModel","ANIMAL_CLOSE_CONTACT_SHEEP"
"ANIMAL_CLOSE_CONTACT_SWINE","Did/does the patient have close contact with swine?","Selection","GeneralModel","ANIMAL_CLOSE_CONTACT_SWINE"
"ANIMAL_CONTACT_SKIN","Has the patient had any contact with animal skins, furs, or hair?","Selection","GeneralModel","ANIMAL_CONTACT_SKIN"
"ANIMAL_CONTACT_WITH_COWS","Did the patient have contact with cows or cattle?","Selection","GeneralModel","ANIMAL_CONTACT_WITH_COWS"
"ANIMAL_CONTACT_WITH_GOATS","Did the patient have contact with goats?","Selection","GeneralModel","ANIMAL_CONTACT_WITH_GOATS"
"ANIMAL_CONTACT_WITH_SHEEP","Did the patient have contact with sheep?","Selection","GeneralModel","ANIMAL_CONTACT_WITH_SHEEP"
"ANIMAL_HUNTING_FISHING","Did/does the patient go hunting or fishing?","Selection","GeneralModel","ANIMAL_HUNTING_FISHING"
"ANIMAL_HUNTING_FISHING_SPECIFY","Specify","Selection","GeneralModel","ANIMAL_HUNTING_FISHING_SPECIFY"
"ANIMAL_INSECT_BITE","Did the patient receive an insect bite/sting?","Selection","GeneralModel","ANIMAL_INSECT_BITE"
"ANIMAL_LIVE_AT_HOME","Does the patient have animals that live at home (including pets)?","Selection","GeneralModel","ANIMAL_LIVE_AT_HOME"
"ANIMAL_PERFORM_ASSIST_NECROPSY","Did the patient perform or assist with an animal necropsy?","Selection","GeneralModel","ANIMAL_PERFORM_ASSIST_NECROPSY"
"ANIMAL_PERFORM_ASSIST_NECROPSY_DATE","Necropsy date","Date","GeneralModel",""
